,KELAS,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,NILAI_1,NILAI_2,NILAI_3,NILAI_4,NILAI_5,NILAI_6,TOTAL_NILAI,REKOMENDASI_MATERI
Siswa_3_5,Kelas 4,C,B,A,D,D,D,B,B,A,C,D,B,C,C,C,A,C,A,"100,00","100,00","0,00","100,00","100,00","100,00","83,33",Materi 3: Pembagian dengan 1 dan 0
Siswa_3_6,Kelas 4,C,B,A,D,D,D,D,B,B,C,D,B,C,C,C,A,C,A,"100,00","100,00","33,33","100,00","100,00","100,00","88,89",Materi 3: Pembagian dengan 1 dan 0
Siswa_3_7,Kelas 4,C,B,A,D,D,D,D,B,C,C,A,B,C,C,C,A,C,A,"100,00","100,00","66,67","66,67","100,00","100,00","88,89",Materi 3: Pembagian dengan 1 dan 0
Siswa_3_8,Kelas 4,C,B,A,D,D,B,D,D,D,C,D,B,C,C,C,A,C,A,"100,00","66,67","33,33","100,00","100,00","100,00","83,33",Materi 3: Pembagian dengan 1 dan 0
Siswa_3_9,Kelas 4,C,B,A,D,D,D,D,D,A,C,D,B,C,C,C,A,C,A,"100,00","100,00","33,33","100,00","100,00","100,00","88,89",Materi 3: Pembagian dengan 1 dan 0
Siswa_4_1,Kelas 4,C,B,A,D,D,D,D,C,C,C,B,D,C,C,C,B,C,A,"100,00","100,00","100,00","33,33","100,00","66,67","83,33",Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_4_2,Kelas 4,C,B,A,D,D,D,D,C,C,C,A,B,C,C,C,A,C,A,"100,00","100,00","100,00","66,67","100,00","100,00","94,44",Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_4_3,Kelas 4,C,A,C,D,D,D,D,A,C,C,A,A,C,C,B,A,C,A,"33,33","100,00","66,67","33,33","66,67","100,00","66,67",Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_4_4,Kelas 4,C,B,A,D,D,D,D,C,C,D,A,A,C,C,C,A,C,A,"100,00","100,00","100,00","0,00","100,00","100,00","83,33",Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_4_5,Kelas 4,A,C,A,D,D,C,D,C,C,D,D,D,B,C,C,A,C,A,"33,33","66,67","100,00","33,33","66,67","100,00","66,67",Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_4_6,Kelas 4,C,B,B,D,D,A,D,C,B,B,C,A,A,C,C,A,C,A,"66,67","66,67","66,67","0,00","66,67","100,00","61,11",Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_4_7,Kelas 4,C,B,A,D,D,D,D,C,C,A,A,A,C,C,C,A,C,D,"100,00","100,00","100,00","0,00","100,00","66,67","77,78",Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_4_8,Kelas 4,C,B,A,D,D,D,D,C,C,A,D,A,C,C,C,A,C,A,"100,00","100,00","100,00","33,33","100,00","100,00","88,89",Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_4_9,Kelas 4,C,B,B,D,D,D,D,C,C,D,C,D,C,C,C,A,C,A,"66,67","100,00","100,00","0,00","100,00","100,00","77,78",Materi 4: Pembagian Bersusun Dasar (Porogapit)
Siswa_5_1,Kelas 4,C,B,A,D,A,D,D,C,C,D,D,B,C,B,C,A,C,A,"100,00","66,67","100,00","66,67","66,67","100,00","83,33",Materi 5: Operasi Hitung Campuran Sederhana
Siswa_5_2,Kelas 4,C,B,A,D,D,D,D,C,C,C,D,B,D,B,B,B,C,A,"100,00","100,00","100,00","100,00","0,00","66,67","77,78",Materi 5: Operasi Hitung Campuran Sederhana
Siswa_5_3,Kelas 4,C,B,A,D,D,D,D,C,C,C,C,B,D,C,B,A,C,A,"100,00","100,00","100,00","66,67","33,33","100,00","83,33",Materi 5: Operasi Hitung Campuran Sederhana
Siswa_5_4,Kelas 4,C,A,A,D,D,D,D,C,C,C,D,B,D,A,A,A,C,A,"66,67","100,00","100,00","100,00","0,00","100,00","77,78",Materi 5: Operasi Hitung Campuran Sederhana
Siswa_5_5,Kelas 4,C,A,A,A,D,D,D,C,C,C,D,B,B,C,B,B,C,A,"66,67","66,67","100,00","100,00","33,33","66,67","72,22",Materi 5: Operasi Hitung Campuran Sederhana
Siswa_5_6,Kelas 4,C,D,A,D,D,D,D,C,C,C,D,B,D,D,D,A,C,A,"66,67","100,00","100,00","100,00","0,00","100,00","77,78",Materi 5: Operasi Hitung Campuran Sederhana
Siswa_5_7,Kelas 4,D,B,A,B,D,D,C,A,C,C,D,B,B,B,C,A,C,A,"66,67","66,67","33,33","100,00","33,33","100,00","66,67",Materi 5: Operasi Hitung Campuran Sederhana
Siswa_5_8,Kelas 4,C,C,A,D,D,D,D,C,C,C,D,B,D,A,D,A,D,A,"66,67","100,00","100,00","100,00","0,00","66,67","72,22",Materi 5: Operasi Hitung Campuran Sederhana
Siswa_5_9,Kelas 4,C,B,A,D,D,D,D,C,C,C,D,B,D,B,C,A,C,A,"100,00","100,00","100,00","100,00","33,33","100,00","88,89",Materi 5: Operasi Hitung Campuran Sederhana
Siswa_6_1,Kelas 4,C,B,A,D,D,D,D,C,C,C,D,B,C,C,C,C,B,B,"100,00","100,00","100,00","100,00","100,00","0,00","83,33",Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_6_2,Kelas 4,C,B,A,D,D,D,D,B,C,C,D,B,C,B,C,C,B,D,"100,00","100,00","66,67","100,00","66,67","0,00","72,22",Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_6_3,Kelas 4,D,B,A,D,D,D,D,C,C,C,D,B,C,C,C,C,A,D,"66,67","100,00","100,00","100,00","100,00","0,00","77,78",Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_6_4,Kelas 4,C,B,A,D,C,D,D,C,C,C,D,B,C,C,C,B,A,C,"100,00","66,67","100,00","100,00","100,00","0,00","77,78",Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_6_5,Kelas 4,C,B,A,D,A,D,C,C,A,C,D,B,C,C,C,B,B,C,"100,00","66,67","33,33","100,00","100,00","0,00","66,67",Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_6_6,Kelas 4,C,B,A,D,D,D,D,D,C,C,D,B,C,C,C,B,C,B,"100,00","100,00","66,67","100,00","100,00","33,33","83,33",Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_6_7,Kelas 4,C,B,A,D,D,D,D,C,C,A,D,B,C,C,C,C,C,D,"100,00","100,00","100,00","66,67","100,00","33,33","83,33",Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_6_8,Kelas 4,C,B,A,B,D,D,B,C,C,C,D,B,C,C,C,A,B,D,"100,00","66,67","66,67","100,00","100,00","33,33","77,78",Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_6_9,Kelas 4,C,B,A,B,A,D,B,C,C,C,D,B,C,C,C,B,A,A,"100,00","33,33","66,67","100,00","100,00","33,33","72,22",Materi 6: Penerapan Urutan Operasi Hitung Campuran dalam Soal Cerita
Siswa_1_1,Kelas 4,D,A,D,D,D,D,D,C,C,C,D,B,C,C,C,A,C,A,"0,00","100,00","100,00","100,00","100,00","100,00","83,33",Materi 1: Perkalian dengan 0 dan 10
Siswa_1_2,Kelas 4,D,D,C,D,A,D,B,C,C,C,D,B,B,C,C,A,C,A,"0,00","66,67","66,67","100,00","66,67","100,00","66,67",Materi 1: Perkalian dengan 0 dan 10
Siswa_1_3,Kelas 4,D,A,B,D,C,D,D,C,C,C,D,B,C,C,C,A,C,A,"0,00","66,67","100,00","100,00","100,00","100,00","77,78",Materi 1: Perkalian dengan 0 dan 10
Siswa_1_4,Kelas 4,A,B,B,C,D,D,D,C,C,D,D,B,A,C,C,A,C,A,"33,33","66,67","100,00","66,67","66,67","100,00","72,22",Materi 1: Perkalian dengan 0 dan 10
Siswa_1_5,Kelas 4,B,D,D,D,D,D,D,C,C,C,D,B,C,C,C,A,C,A,"0,00","100,00","100,00","100,00","100,00","100,00","83,33",Materi 1: Perkalian dengan 0 dan 10
Siswa_1_6,Kelas 4,B,C,C,D,D,D,D,C,C,C,D,B,C,C,B,B,C,A,"0,00","100,00","100,00","100,00","66,67","66,67","72,22",Materi 1: Perkalian dengan 0 dan 10
Siswa_1_7,Kelas 4,C,D,D,D,D,D,D,D,C,C,D,B,C,C,C,D,C,A,"33,33","100,00","66,67","100,00","100,00","66,67","77,78",Materi 1: Perkalian dengan 0 dan 10
Siswa_1_8,Kelas 4,A,C,B,D,D,D,D,C,C,C,A,B,D,B,C,A,C,A,"0,00","100,00","100,00","66,67","33,33","100,00","66,67",Materi 1: Perkalian dengan 0 dan 10
Siswa_1_9,Kelas 4,D,C,C,D,D,D,D,C,C,C,D,B,C,C,C,A,C,A,"0,00","100,00","100,00","100,00","100,00","100,00","83,33",Materi 1: Perkalian dengan 0 dan 10
Siswa_2_1,Kelas 4,C,B,C,C,C,C,D,C,C,C,D,B,C,C,C,A,B,A,"66,67","0,00","100,00","100,00","100,00","66,67","72,22",Materi 2: Perkalian Bersusun
Siswa_2_2,Kelas 4,C,B,A,B,C,C,D,C,C,C,D,B,C,C,C,A,C,A,"100,00","0,00","100,00","100,00","100,00","100,00","83,33",Materi 2: Perkalian Bersusun
Siswa_2_3,Kelas 4,C,B,A,C,D,A,D,C,C,C,D,B,C,C,C,C,C,A,"100,00","33,33","100,00","100,00","100,00","66,67","83,33",Materi 2: Perkalian Bersusun
Siswa_2_4,Kelas 4,C,B,A,B,D,A,D,C,C,C,D,B,C,C,A,A,C,A,"100,00","33,33","100,00","100,00","66,67","100,00","83,33",Materi 2: Perkalian Bersusun
Siswa_2_5,Kelas 4,C,A,A,A,D,A,D,C,C,C,D,B,C,C,C,A,C,A,"66,67","33,33","100,00","100,00","100,00","100,00","83,33",Materi 2: Perkalian Bersusun
Siswa_2_6,Kelas 4,C,D,A,B,B,C,D,C,C,C,D,B,C,C,C,A,B,A,"66,67","0,00","100,00","100,00","100,00","66,67","72,22",Materi 2: Perkalian Bersusun
Siswa_2_7,Kelas 4,C,B,A,C,A,C,D,C,C,C,D,B,C,C,C,A,C,A,"100,00","0,00","100,00","100,00","100,00","100,00","83,33",Materi 2: Perkalian Bersusun
Siswa_2_8,Kelas 4,C,B,A,B,B,A,D,C,C,C,D,D,C,C,C,A,D,A,"100,00","0,00","100,00","66,67","100,00","66,67","72,22",Materi 2: Perkalian Bersusun
Siswa_2_9,Kelas 4,C,B,A,B,D,A,D,C,C,C,D,B,C,C,C,A,C,A,"100,00","33,33","100,00","100,00","100,00","100,00","88,89",Materi 2: Perkalian Bersusun
Siswa_3_1,Kelas 4,C,B,A,D,D,D,B,B,B,D,D,C,C,C,B,A,C,A,"100,00","100,00","0,00","33,33","66,67","100,00","66,67",Materi 3: Pembagian dengan 1 dan 0
Siswa_3_2,Kelas 4,C,B,A,D,D,D,A,D,A,C,D,B,C,C,C,A,C,A,"100,00","100,00","0,00","100,00","100,00","100,00","83,33",Materi 3: Pembagian dengan 1 dan 0
Siswa_3_3,Kelas 4,C,B,A,D,B,D,A,D,B,A,D,B,C,C,C,A,C,A,"100,00","66,67","0,00","66,67","100,00","100,00","72,22",Materi 3: Pembagian dengan 1 dan 0
